company,client,method,from,to,sample_size,con,lab,ld,ukip,snp,grn,other,pdf
Survation,Scottish Daily Mail,Online,2016-09-10,2016-09-10,1010.0,0.162,0.213,0.057999999999999996,0.022000000000000002,0.512,0.027000000000000003,0.006,http://survation.com/wp-content/uploads/2015/09/Independence-Referendum-Anniversary-Poll-Scottish-Daily-Mail.pdf
Panelbase,Sunday Times,Online,2016-09-09,2016-09-15,1024.0,0.24,0.16,0.05,0.04,0.47,0.03,0.0,http://www.panelbase.com/media/polls/SundayTimestablesforpublication150916.pdf
BMG,,Online,2016-09-28,2016-10-04,,0.2,0.17,0.08,0.02,0.49,0.06,,
Panelbase,Sunday Times,Online,2017-01-20,2017-01-26,1020.0,0.27,0.15,0.04,0.03,0.47,0.03,0.01,http://www.panelbase.com/media/polls/W7181w9tablesforpublication300117.pdf
Survation,Sunday Post,Online,2017-04-20,2017-04-21,1001.0,0.27899999999999997,0.17800000000000002,0.08800000000000001,,0.431,,0.024,http://survation.com/wp-content/uploads/2017/04/Sunday-Post-Tables-Final-1d4f6h-180417APCH.pdf
Panelbase,Sunday Times,Online,2017-04-18,2017-04-22,1029.0,0.33,0.13,0.05,0.02,0.44,0.02,0.01,http://www.panelbase.com/media/polls/W7181w11tablesforpublication210417.pdf
YouGov,Times,Online,2017-04-24,2017-04-27,1017.0,0.28,0.18,0.07,0.02,0.41,0.03,0.01,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2sjw512ap2/TimesResults_170427_Scotland_WestminsterVI_R1_W.pdf
ORB Online,Telegraph,Online,2017-04-26,2017-04-27,136.0,0.27,0.16,0.07,0.01,0.47,,0.03,https://www.orb-international.com/perch/resources/orb-results-26th-27th-april-sunday.pdf
ICM Online,Sun,Online,2017-04-26,2017-04-28,137.0,0.24,0.17,0.1,0.01,0.45,0.03,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_sunonsunday_camp_apr28th.pdf
Opinium Online,Observer,Online,2017-04-25,2017-04-28,113.0,0.3,0.13,0.02,0.01,0.5,0.04,0.0,http://opinium.co.uk/wp-content/uploads/2017/04/VI-25-04-2017-Tables.xls
YouGov,Times,Online,2017-04-27,2017-04-28,148.0,0.32,0.25,0.05,0.0,0.36,0.02,0.0,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zebfsayat4/SundayTimesResults_170428_W.pdf
ICM Online,Guardian,Online,2017-04-28,2017-05-01,135.0,0.31,0.16,0.04,0.07,0.38,0.05,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_campaignpoll4_april28-02may.pdf
Kantar TNS,,Online,2017-04-27,2017-05-02,91.0,0.28,0.12,0.09,0.04,0.39,0.05,0.01,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20Tables%20and%20Method%20Note%203.5.2017.pdf
Panelbase,,Online,2017-04-28,2017-05-02,67.0,0.19,0.14,0.14,0.03,0.48,0.01,0.0,http://www.panelbase.com/media/polls/W10470w2TablesForPublication020517.pdf
Opinium,Observer,Online,2017-05-02,2017-05-03,134.0,0.33,0.12,0.05,0.01,0.42,0.05,0.01,http://opinium.co.uk/wp-content/uploads/2017/05/VI-02-05-2017-Tables-v1.xls
YouGov,Times,Online,2017-05-02,2017-05-03,190.0,0.37,0.15,0.06,0.0,0.4,0.01,0.0,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/dpzz1r8u3o/TimesResults_170503_VI_Trackers_with_Slogans_W.pdf
ICM Online,Sun,Online,2017-05-03,2017-05-05,145.0,0.27,0.18,0.06,0.01,0.43,0.04,0.01,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_sunonsunday_campaign_poll2_may7.pdf
YouGov,Sunday Times,Online,2017-05-04,2017-05-05,151.0,0.27,0.19,0.09,0.01,0.41,0.03,0.0,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mrfbguqp4r/SundayTimesResults_170505_VI_W.pdf
Survation,Good Morning Britain,Phone,2017-05-05,2017-05-06,71.0,0.218,0.204,0.047,0.0,0.531,0.0,0.0,http://survation.com/wp-content/uploads/2017/05/Final-GMB-GE2017-Poll-I-050517TOCH-1c0d0h5.pdf
ICM Online,Guardian,Online,2017-05-05,2017-05-07,133.0,0.34,0.14,0.02,0.0,0.44,0.04,0.01,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_poll5_may5-7.pdf
Kantar TNS,,Online,2017-05-04,2017-05-08,85.0,0.17,0.17,0.04,0.03,0.54,0.06,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20data.tables%209.5.17.pdf
Panelbase,,Online,2017-05-05,2017-05-09,76.0,0.42,0.11,0.03,0.01,0.42,0.01,0.0,http://www.panelbase.com/media/polls/W10407w3tablesforpublication090517.pdf
YouGov,Times,Online,2017-05-09,2017-05-10,152.0,0.26,0.14,0.11,0.02,0.46,0.01,0.0,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fko52um47n/TimesResults_170510_VI_Trackers_W.pdf
ORB Online,Telegraph,Online,2017-05-10,2017-05-11,142.0,0.26,0.1,0.09,0.04,0.48,,0.03,http://www.orb-international.com/perch/resources/orb-the-telegraph-10-11-may-.pdf
ComRes Online,Independent On Sunday / Sunday Mirror,Online,2017-05-10,2017-05-12,111.0,0.31,0.13,0.11,0.02,0.41,0.03,0.0,http://www.comresglobal.com/wp-content/uploads/2017/05/Independent-Sunday-Mirror_May-2017_5646546.pdf
Opinium,Observer,Online,2017-05-09,2017-05-12,121.0,0.31,0.18,0.03,0.01,0.43,0.04,0.01,http://opinium.co.uk/wp-content/uploads/2017/05/VI-09-05-2017-Tables-FINAL.xlsx
YouGov,Times,Online,2017-05-11,2017-05-12,150.0,0.33,0.15,0.05,0.0,0.41,0.04,0.02,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1b8yww4g1l/SundayTimesResults_170512_VI_W.pdf
Survation,Good Morning Britain,Phone,2017-05-12,2017-05-13,70.0,0.315,0.179,0.0,0.006,0.466,0.01,0.024,http://survation.com/wp-content/uploads/2017/05/Final-GMB-II-Tables-120517TOCH-1c0d1h6.pdf
ICM Online,Guardian,Online,2017-05-12,2017-05-14,139.0,0.26,0.16,0.07,0.01,0.49,0.02,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/05/2017_guardian_campaign_poll6.pdf
